21,34,36,55,50,40,32,23,68,44,33,27

21,46,34,59,50,34,30,18,98,58,36,20

17,39,31,54,48,40,28,19,103,41,34,20

24,39,35,59,49,37,37,19,74,47,30,24

25,49,25,51,49,37,30,14,104,64,36,29

29,47,35,50,50,37,32,23,69,46,30,20

21,47,37,53,49,39,35,21,116,62,30,20

32,35,29,54,49,39,37,16,84,42,30,24

18,46,34,58,49,39,35,12,64,47,30,22

32,32,35,58,49,33,30,11,87,51,30,21

27,37,35,57,48,38,29,16,71,44,31,23

26,33,38,57,49,39,37,18,85,40,35,30

29,48,28,52,49,37,34,18,63,40,30,24

19,50,35,56,49,36,35,17,87,60,38,37

19,44,35,57,48,32,27,14,89,44,36,33

21,38,35,54,49,35,27,21,71,40,31,23

34,47,37,60,49,30,27,12,63,42,35,26

23,47,37,59,46,35,32,19,104,42,34,32

21,35,29,59,48,36,33,11,80,40,35,34

34,38,37,53,49,39,33,18,95,40,30,32

35,50,32,57,49,36,27,9,86,54,36,23

30,53,30,59,47,38,25,8,77,51,39,23

25,41,34,60,48,38,25,14,56,40,31,22
S30,39,35,59,49,29,25,12,77,41,30,26
23,43,30,59,48,28,24,14,54,40,44,27
26,54,38,57,49,34,24,18,52,42,30,41
21,50,36,58,46,36,32,12,64,40,30,23
29,47,32,58,50,29,22,9,70,46,37,45
25,49,35,59,47,29,23,7,77,44,31,40
32,48,35,59,45,35,27,7,62,41,34,44
37,56,31,56,49,32,20,14,57,40,31,36
28,56,32,58,50,34,33,9,63,48,34,33
36,55,40,57,48,35,25,9,70,44,49,32
27,41,36,59,50,27,28,13,87,41,30,44
24,46,34,60,49,29,29,8,56,47,35,26
23,50,34,58,45,32,30,14,50,46,51,28
35,55,34,59,43,35,28,9,55,40,51,45
30,55,36,59,43,33,25,7,54,40,33,29
25,47,38,58,49,35,18,8,50,40,34,42
33,47,39,60,49,36,16,16,56,40,42,27
39,56,35,59,49,31,26,11,80,46,34,45
35,57,36,59,44,26,29,9,50,45,34,50
39,43,37,59,49,32,16,9,62,47,36,27
32,58,35,59,45,31,19,12,53,40,32,39
30,50,37,58,43,27,16,7,66,45,39,30
27,52,39,59,49,30,25,9,59,40,53,52
41,44,37,59,44,30,16,5,65,40,31,55
34,51,39,59,45,23,15,10,50,41,34,33
44,48,37,56,46,22,21,12,66,40,49,31
34,55,36,59,49,22,26,9,58,40,47,52
33,58,39,55,45,30,16,5,50,55,49,41
30,50,39,60,37,23,19,7,56,50,39,49
33,50,39,54,42,24,22,6,55,52,61,50
34,58,37,60,44,21,26,8,53,46,51,50
39,59,39,59,43,22,14,11,50,41,33,45
45,50,40,60,39,27,22,8,66,45,34,36
45,50,37,59,48,33,15,5,50,58,65,53
30,58,39,57,43,23,24,7,53,47,56,56
32,54,39,60,48,23,16,6,55,41,60,32
43,58,38,60,36,29,23,9,53,55,45,50
46,56,38,60,43,19,16,9,52,51,37,52
38,59,38,56,45,21,18,6,53,62,52,38
37,52,38,51,44,26,22,7,56,52,36,44
36,51,39,60,37,23,23,5,52,42,46,47
46,55,40,59,45,24,23,5,56,44,39,50
46,54,38,55,47,27,17,7,58,58,51,51
45,50,40,59,44,31,15,6,52,65,36,41
33,58,39,53,47,18,11,5,58,41,75,47
37,54,39,50,43,29,22,5,55,63,75,63
42,60,38,59,37,23,12,8,55,44,73,60
43,56,39,50,40,30,19,5,50,42,43,37
34,59,38,56,38,20,22,8,53,58,57,38
47,60,40,49,35,21,14,5,53,40,48,41
46,60,38,48,41,17,13,9,53,42,50,63
44,60,39,57,42,24,18,5,50,58,41,44
36,57,39,46,34,15,11,7,50,65,76,62
46,55,39,51,29,18,12,5,50,55,41,41
45,59,40,52,38,23,16,7,50,42,83,42
43,56,40,55,44,27,12,5,52,75,55,59
48,60,37,54,32,16,19,7,50,65,75,67
48,57,39,56,39,27,18,5,52,47,53,57
40,60,37,57,43,20,10,5,69,43,63,54
45,59,40,51,36,16,19,5,73,70,61,67
37,59,36,58,32,23,19,5,50,47,68,53
47,58,40,53,39,15,17,5,74,52,80,50
48,56,37,48,43,26,10,5,56,65,51,45
43,56,39,46,30,14,13,5,52,54,52,57
48,56,35,56,31,17,17,5,53,52,70,70
48,59,39,52,26,24,14,5,51,45,70,63
44,60,36,50,30,14,11,6,51,57,65,64
49,59,35,50,39,22,11,5,50,84,79,69
49,58,34,49,26,23,11,6,57,45,77,63
43,57,35,57,27,15,10,5,50,47,53,52
49,59,40,42,35,13,10,5,50,60,64,62
48,58,35,47,40,17,17,6,60,79,75,51
48,58,39,44,24,20,17,5,77,59,92,58
43,58,35,40,31,11,10,6,53,62,54,59
50,58,37,41,27,13,10,5,54,92,69,52
49,58,37,41,29,12,10,6,66,85,93,51
45,57,38,50,32,11,11,5,60,52,96,70
48,59,38,40,32,22,10,6,87,92,89,70
43,60,32,56,30,13,10,6,84,52,81,70
47,58,36,42,24,18,10,5,65,59,67,61
49,56,37,55,23,14,10,5,65,65,62,77
47,59,36,54,36,13,10,5,77,71,79,66
45,59,31,45,37,14,10,5,54,98,102,59
49,59,39,48,29,14,10,6,51,68,93,74
49,59,33,47,30,11,12,6,77,70,98,65
50,54,39,41,25,13,12,5,74,63,81,62
49,59,29,50,33,11,10,5,57,108,96,67
49,59,39,53,30,14,10,5,70,60,101,65
50,56,28,37,21,12,14,6,56,76,70,77
48,55,35,36,23,12,11,5,55,70,69,67
50,55,30,44,29,18,11,8,94,77,93,62
49,58,33,46,23,16,11,5,99,98,75,60
49,58,34,34,28,10,10,6,59,90,71,67
49,58,38,40,26,12,10,9,59,97,75,74
47,59,37,39,27,15,10,9,59,77,82,71
49,59,31,50,27,10,10,8,110,97,110,63
47,60,37,50,25,12,11,5,58,83,107,74
47,59,34,46,22,13,10,6,62,85,82,78
48,60,32,33,20,11,11,8,87,68,109,67
50,53,27,44,33,10,11,5,89,88,111,74
48,60,27,48,19,10,10,7,95,69,102,80
